name,ticker,date,time,size,price
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Thursday, June 10, 2021",9:41 AM EST,7,$395
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Friday, April 16, 2021",12:05 PM EST,6,$300
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Tuesday, February 23, 2021",2:06 PM EST,6.5,$630
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Sunday, November 29, 2020",11:00 PM EST,5.5,$259
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Friday, November 27, 2020",4:24 PM EST,5.5,$326
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Wednesday, October 28, 2020",12:15 PM EST,8,$450
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Saturday, October 24, 2020",7:03 PM EST,6,$625
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Tuesday, October 6, 2020",5:52 PM EST,5.5,$250
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Thursday, October 1, 2020",7:20 PM EST,6,$481
adidas Yeezy Boost 950 Pirate Black (W),YZY950-PRTBLKW,"Monday, September 21, 2020",8:20 PM EST,6,$450
