url,name,ticker,image_path,release_date,retail_price,style_code,colorway
https://stockx.com/adidas-yzy-qntm-lifestyle-model-kids,adidas Yeezy QNTM Lifestyle Model (Kids),YZY-QNTMK,/images/sneakers/adidas/yeezy/YZY-QNTMK.jpg,09/05/2020,$180,GZ9114,QNTM
https://stockx.com/adidas-yeezy-boost-700-mnvn-orange-kids,adidas Yeezy Boost 700 MNVN Orange (Kids),YZB700M-OK,/images/sneakers/adidas/yeezy/YZB700M-OK.jpg,02/28/2020,N/A,FX3354,ORANGE/ORANGE/ORANGE
https://stockx.com/adidas-yeezy-boost-350-v2-antlia-infant,adidas Yeezy Boost 350 V2 Antlia (Infant),YZB350V2-ANTTD,/images/sneakers/adidas/yeezy/YZB350V2-ANTTD.jpg,06/22/2019,$140,FV3245,ANTLIA/ANTLIA/ANTLIA
https://stockx.com/adidas-yeezy-boost-380-onyx-kids,adidas Yeezy Boost 380 Onyx (Kids),YB380-ONXK,/images/sneakers/adidas/yeezy/YB380-ONXK.jpg,11/28/2020,$170,FZ4418,ONYX/ONYX/ONYX
https://stockx.com/adidas-yeezy-500-soft-vision-kids,adidas Yeezy 500 Soft Vision (Kids),YZB500-SVPS,/images/sneakers/adidas/yeezy/YZB500-SVPS.jpg,11/02/2019,$130,N/A,SOFT VISION/SOFT VISION/SOFT VISION
https://stockx.com/adidas-yeezy-boost-700-mnvn-orange-infant,adidas Yeezy Boost 700 MNVN Orange (Infant),YZB700M-OI,/images/sneakers/adidas/yeezy/YZB700M-OI.jpg,02/28/2020,$220,FX3355,ORANGE/ORANGE/ORANGE
https://stockx.com/adidas-yeezy-boost-380-mist-infants,adidas Yeezy Boost 380 Mist (Infants),YB380-MSTI,/images/sneakers/adidas/yeezy/YB380-MSTI.jpg,03/25/2020,$150,FX9765,MIST/MIST/MIST
https://stockx.com/adidas-yeezy-boost-380-pepper-infants,adidas Yeezy Boost 380 Pepper (Infants),YB380-PPRI,/images/sneakers/adidas/yeezy/YB380-PPRI.jpg,09/19/2020,$150,FZ4421,PEPPER/PEPPER/PEPPER
https://stockx.com/yeezy-slide-desert-sand-kids,adidas Yeezy Slide Desert Sand (Kids),YZSLD-DSK,/images/sneakers/adidas/yeezy/YZSLD-DSK.jpg,12/06/2019,$45,FW6346,DESERT SAND/DESERT SAND/DESERT SAND
https://stockx.com/adidas-yeezy-500-bone-white-kids,adidas Yeezy 500 Bone White (Kids),YZB500-BWPS,/images/sneakers/adidas/yeezy/YZB500-BWPS.jpg,08/24/2019,$130,FV6770,BONE WHITE/BONE WHITE/BONE WHITE
https://stockx.com/adidas-yeezy-boost-380-lmnte-reflective,adidas Yeezy Boost 380 Lmnte Reflective,YB380-LMNR,/images/sneakers/adidas/yeezy/YB380-LMNR.jpg,12/12/2020,$250,H02541,LMNTE/LMNTE/LMNTE
https://stockx.com/adidas-yeezy-desert-boot-oil-infants,adidas Yeezy Desert Boot Oil (Infants),YZDSBT-OILI,/images/sneakers/adidas/yeezy/YZDSBT-OILI.jpg,09/14/2019,N/A,EG6684,OIL/OIL/OIL
https://stockx.com/adidas-yeezy-boost-350-v2-clay-td,adidas Yeezy Boost 350 V2 Clay (Infant),YZB350V2-CLYTD,/images/sneakers/adidas/yeezy/YZB350V2-CLYTD.jpg,03/30/2019,$140,EG6881,CLAY/CLAY/CLAY
https://stockx.com/adidas-yeezy-boost-350-v2-lundmark-infant,adidas Yeezy Boost 350 V2 Lundmark (Infant),350V2-LMTD,/images/sneakers/adidas/yeezy/350V2-LMTD.jpg,07/13/2019,$140,FV3246,LUNDMARK/LUNDMARK/LUNDMARK
https://stockx.com/adidas-yeezy-desert-boot-oil-kids,adidas Yeezy Desert Boot Oil (Kids),YZDSBT-OILK,/images/sneakers/adidas/yeezy/YZDSBT-OILK.jpg,09/14/2019,N/A,EG6489,OIL/OIL/OIL
https://stockx.com/adidas-yeezy-500-soft-vision-infant,adidas Yeezy 500 Soft Vision (Infant),YZB500-SVTD,/images/sneakers/adidas/yeezy/YZB500-SVTD.jpg,11/02/2019,$100,N/A,SOFT VISION/SOFT VISION/SOFT VISION
https://stockx.com/adidas-yeezy-boost-700-v2-vanta-td,adidas Yeezy Boost 700 V2 Vanta (Infant),YZYB700V2-VNTTD,/images/sneakers/adidas/yeezy/YZYB700V2-VNTTD.jpg,06/06/2019,$150,FU6686,VANTA/VANTA/VANTA
https://stockx.com/adidas-yeezy-boost-350-v2-glow-infant,adidas Yeezy Boost 350 V2 Glow (Infant),YZB350V2-GLWI,/images/sneakers/adidas/yeezy/YZB350V2-GLWI.jpg,05/25/2019,$160,EG6887,GLOW/GLOW/GLOW
https://stockx.com/adidas-yeezy-500-bone-white-infant,adidas Yeezy 500 Bone White (Infant),YZB500-BWTD,/images/sneakers/adidas/yeezy/YZB500-BWTD.jpg,08/24/2019,$100,N/A,BONE WHITE/BONE WHITE/BONE WHITE
https://stockx.com/adidas-yeezy-boost-350-turtle-dove-i,adidas Yeezy Boost 350 Turtledove (Infant),YZY350I-TRTLDV,/images/sneakers/adidas/yeezy/YZY350I-TRTLDV.jpg,08/27/2016,$130,BB5354,TURTLEDOVE/BLUE GREY/CORE WHITE
