url,name,ticker,image_path,release_date,retail_price,style_code,colorway
https://stockx.com/adidas-yeezy-boost-700-mnvn-blue-tint,adidas Yeezy Boost 700 MNVN Blue Tint,ADI-ADYB7MBBT,a/images/sneakers/adidas/yeezy/ADI-ADYB7MBBT.jpg,07/05/2021,$220,GZ0711,BLUE TINT/BLACK
https://stockx.com/adidas-yeezy-450-dark-slate,adidas Yeezy 450 Dark Slate,ADI-ADY4DSDD,a/images/sneakers/adidas/yeezy/ADI-ADY4DSDD.jpg,06/26/2021,$200,GY5368,DARK SLATE/DARK SLATE
https://stockx.com/adidas-yeezy-boost-350-v2-mono-cinder,adidas Yeezy Boost 350 V2 Mono Cinder,ADI-ADYB3VMC,a/images/sneakers/adidas/yeezy/ADI-ADYB3VMC.jpg,06/24/2021,$220,GX3791,MONO CINDER/MONO CINDER/MONO CINDER
https://stockx.com/adidas-yeezy-slide-enflame-orange,adidas Yeezy Slide Enflame Orange,ADI-ADYSOOO,a/images/sneakers/adidas/yeezy/ADI-ADYSOOO.jpg,06/21/2021,$60,GZ0953,ENFLAME ORANGE/ENFLAME ORANGE/ENFLAME ORANGE
https://stockx.com/adidas-yeezy-boost-350-v2-mono-ice,adidas Yeezy Boost 350 V2 Mono Ice,ADI-ADYB3VMMMI,a/images/sneakers/adidas/yeezy/ADI-ADYB3VMMMI.jpg,06/18/2021,$220,GW2869,MONO ICE/MONO ICE/MONO ICE
https://stockx.com/adidas-yeezy-boost-350-v2-mono-clay,adidas Yeezy Boost 350 V2 Mono Clay,ADI-ADYB3VMMMC,a/images/sneakers/adidas/yeezy/ADI-ADYB3VMMMC.jpg,06/18/2021,$220,GW2870,MONO CLAY/MONO CLAY/MONO CLAY
https://stockx.com/adidas-yeezy-boost-350-v2-mono-mist,adidas Yeezy Boost 350 V2 Mono Mist,ADI-ADYB3VMST,a/images/sneakers/adidas/yeezy/ADI-ADYB3VMST.jpg,06/18/2021,$220,GW2871,MONO MIST/MONO MIST/MONO MIST
https://stockx.com/adidas-yeezy-boost-700-enflame-amber,adidas Yeezy Boost 700 Enflame Amber,ADI-ADYB7EAEO,a/images/sneakers/adidas/yeezy/ADI-ADYB7EAEO.jpg,06/11/2021,$240,GW0297,ENFLAME AMBER/ORANGE
https://stockx.com/adidas-yeezy-boost-700-mnvn-bright-cyan,adidas Yeezy Boost 700 MNVN Bright Cyan,ADI-ADYB7MBBB,a/images/sneakers/adidas/yeezy/ADI-ADYB7MBBB.jpg,06/07/2021,$220,GZ3079,BRIGHT CYAN/BLACK
https://stockx.com/adidas-yeezy-500-taupe-light,adidas Yeezy 500 Taupe Light,ADI-ADY5TLTT,a/images/sneakers/adidas/yeezy/ADI-ADY5TLTT.jpg,06/05/2021,$200,GX3605,TAUPE LIGHT/TAUPE LIGHT/TAUPE LIGHT
https://stockx.com/adidas-yeezy-boost-380-alien-blue,adidas Yeezy Boost 380 Alien Blue,ADI-ADYB3ABAA,a/images/sneakers/adidas/yeezy/ADI-ADYB3ABAA.jpg,05/31/2021,$230,GW0304,ALIEN BLUE RF/ALIEN BLUE RF/ALIEN BLUE RF
https://stockx.com/adidas-yeezy-foam-rnnr-mineral-blue,adidas Yeezy Foam RNNR Mineral Blue,ADI-ADYFRMBMM,a/images/sneakers/adidas/yeezy/ADI-ADYFRMBMM.jpg,05/29/2021,$80,GV7903,MINERAL BLUE/MINERAL BLUE/MINERAL BLUE
https://stockx.com/adidas-yeezy-qntm-flash-orange,adidas Yeezy QNTM Flash Orange,ADI-ADYQFOFF,a/images/sneakers/adidas/yeezy/ADI-ADYQFOFF.jpg,05/22/2021,$250,GW5314,FLASH ORANGE/FLASH ORANGE/FLASH ORANGE
https://stockx.com/adidas-yeezy-500-high-tactile-orange,adidas Yeezy 500 High Tactile Orange,ADI-ADY5HTOBN,a/images/sneakers/adidas/yeezy/ADI-ADY5HTOBN.jpg,05/17/2021,$220,GW2873,BROWN/NAVY/TACTILE ORANGE
https://stockx.com/adidas-yeezy-500-high-sumac,adidas Yeezy 500 High Sumac,ADI-ADY5HSSI,a/images/sneakers/adidas/yeezy/ADI-ADY5HSSI.jpg,05/17/2021,$220,GW2874,SUMAC/INDIGO/RED
https://stockx.com/adidas-yeezy-500-enflame,adidas Yeezy 500 Enflame,ADI-ADY5EEE,a/images/sneakers/adidas/yeezy/ADI-ADY5EEE.jpg,05/08/2021,$200,GZ5541,ENFLAME/ENFLAME-ENFLAME
